Erro = type:KeyError | message: 'music_not_status_data' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3393}] | time: 22/11/2022 14:51:03 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:32 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:36 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:38 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:40 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:43 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:46 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:49 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:53 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:56 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:14:59 
